date,price_btc,ma7_btc,ma30_btc,price_eth,ma7_eth,ma30_eth
2025-01-11,94736.6267420969,96847.49122422778,97755.93949754762,3269.1759954061,3453.8282496859574,3524.1513199012866
2025-01-12,94559.5516722421,96319.32163904817,97574.56427444395,3283.5913228285,3400.001575556414,3504.309363593133
2025-01-13,94454.7708963881,95760.77612910383,97344.64898055946,3264.0709685337,3346.8895716068428,3482.86407389408
2025-01-14,94456.3493746993,94650.34110664697,97114.29360486497,3134.5520394596,3267.9477609498144,3458.4492818082394
2025-01-15,96574.0776879919,94596.33808096731,96842.71281052839,3224.8006483414,3245.7734069544426,3433.89878788028
2025-01-16,100313.1523982842,95352.97207930907,96650.68098262414,3447.0340476748,3263.1882667145996,3415.7046829412366
2025-01-17,100044.5792677638,96448.44400563804,96451.0031781281,3309.44661399,3276.0959480334427,3396.7060292738997
2025-01-18,104160.6935848423,97794.7392688874,96577.84042601782,3477.2842850848,3305.825703701829,3391.6734228419095
2025-01-19,104334.6157572439,99191.1769953162,96793.94915890068,3309.09956762,3309.469738672043,3387.4875594446403
2025-01-20,101275.3371481421,100165.54360270964,96913.41258660788,3208.1365439891,3301.479106594243,3378.8034802423936
2025-01-21,101764.9086017055,101209.62349228196,97065.48204104885,3263.0698698808,3319.838796654414,3376.3192351345297
2025-01-22,106182.2368201815,102582.21765402332,97435.08080343418,3326.0285404709,3334.2999241014854,3377.9905389035102
2025-01-23,103673.5350953779,103062.27232503671,97736.034944792,3237.2996671291,3304.3378697378143,3372.079146408453
2025-01-24,104067.6099120695,103636.99098850896,97915.09814160012,3332.5808931462,3307.642766760129,3366.57999991574
2025-01-25,104835.1925355596,103733.34798146856,98098.10608699637,3311.8499838687,3284.0092951578285,3360.4913017992603
2025-01-26,104796.0407773823,103799.26584148835,98402.03036472065,3320.1314101789,3285.5852726662424,3360.2360229329465
2025-01-27,102552.2487428021,103981.68178358262,98676.04041379635,3232.2767744706,3289.0338770207427,3357.0248769049936
2025-01-28,101958.4695374559,104009.33334583268,98901.83541661533,3173.5346079397,3276.2431253148716,3349.5482264860334
2025-01-29,101313.1126449827,103313.74417794714,99156.82425412674,3076.4937692857,3240.595300859843,3340.18699402984
2025-01-30,103718.9793981364,103320.23622119836,99526.54749636019,3114.4358854363,3223.043332046586,3332.0177254858036
2025-01-31,104781.5135100103,103422.2224494756,99902.3359884467,3248.2494843523,3210.9959879331714,3329.07212450535
2025-02-01,102382.3940972217,103071.82267257021,100168.94325450786,3296.3906348437,3208.7875095010286,3327.319570762687
2025-02-02,100674.7876254496,102483.0722222941,100296.36461494448,3125.0386801321,3180.9171194943433,3316.5495122017264
2025-02-03,97568.3165302487,101771.08190621505,100279.16373952587,2862.6976188716,3128.1200972659144,3291.829720177673
2025-02-04,101466.8606657039,101700.85206739334,100386.16780276601,2877.8138239499,3085.874270981657,3265.7442462514937
2025-02-05,98118.4392166447,101244.47014905933,100377.96279445423,2740.380976276,3037.858157694557,3235.89511225467
2025-02-06,96582.8868291905,100225.02835349563,100189.74587103067,2790.5521609256,2991.5890541930285,3206.0086938168965
2025-02-07,96635.4187533221,99061.30053111161,100179.18986721641,2686.6623167937,2911.3623159703716,3182.89673349972
2025-02-08,96558.4563096667,98229.30941860375,100230.58126387557,2623.4507017825,2815.2280398187713,3159.50742258068
2025-02-09,96558.2376250109,97641.2308471125,100369.97999192725,2635.6011418023,2745.3083914859426,3140.0576991488197
2025-02-10,96548.5786537958,97495.55400761924,100430.37838898387,2632.5358220552,2712.428134797886,3118.836360037123
2025-02-11,97399.981613832,96914.57128592324,100525.05938703686,2660.2967996436,2681.3542741827,3098.05987593096
2025-02-12,95739.9773707924,96574.79102223006,100567.89960285035,2603.0333698049,2661.7331875439713,3076.0252893066668
2025-02-13,97836.1885612748,96753.83412681354,100680.56090906954,2736.2703136032,2653.9786379264856,3062.7492317781202
2025-02-14,96561.6639990985,96743.29773335301,100680.14711943973,2675.7090007038,2652.4138784850716,3044.4461768568667
2025-02-15,97488.4814853646,96876.15847273843,100585.99142234241,2724.6698335874,2666.8737544571995,3020.36736972062
2025-02-16,97569.9516943046,97020.6890540661,100503.50383656044,2692.8213863864,2675.0480751120713,2999.8131954671667
2025-02-17,96149.3484548204,96963.65616849819,100236.45899889305,2659.9017474093,2678.9574930197996,2972.567110877984
2025-02-18,95776.1572385272,96731.68125774036,99951.17704826916,2741.9050800956,2690.6158187986575,2953.660627960503
2025-02-19,95495.8915329929,96696.81185234044,99758.52886109753,2669.4945006896,2700.1102660679,2935.7058931838533
2025-02-20,96554.8715625928,96513.76656681443,99584.86095979375,2714.8018364721,2697.043340763457,2917.4302920702303
2025-02-21,98384.3173824031,96774.14562157223,99324.9303118678,2741.5933625995,2706.4553924628426,2897.9491194745165
2025-02-22,96135.1554130529,96580.81332552769,99073.65098912365,2658.3470942919,2696.9807154206283,2878.6507003799434
2025-02-23,96564.1541429023,96437.12796104165,98823.53579681808,2764.3552334043,2707.1998364231854,2859.7098450552135
2025-02-24,96327.4630912783,96462.57290910708,98539.94481534204,2827.184408488,2731.0973594344287,2843.554325875856
2025-02-25,91396.7668693027,95836.94571350356,98093.30235173939,2503.1034200986,2696.9828365777144,2816.3200595398466
2025-02-26,88755.7693356979,94874.07111389001,97633.4197048359,2495.315451693,2672.100115292486,2791.7546821139267
2025-02-27,83900.1149652484,93066.2487428408,97031.474552429,2325.8539346994,2616.5361293249566,2763.4986596725835
2025-02-28,84709.1447784796,91112.65265656602,96478.00895687888,2305.322937803,2554.211782925457,2737.792965289826
